importance,feature
0.04304284561562667,4080
0.027375032592577758,3548
0.022572544087585283,3528
0.022431169246804133,942
0.021124865945529463,2492
0.01995944555122284,2944
0.018536275449115677,2942
0.016508403977186795,2534
0.012948342528851475,3254
0.011978775628121833,2968
0.011413237645699705,2702
0.010631228388693455,2938
0.010515479114223798,2940
0.010456415926512076,3512
0.010262756724616488,958
0.010189369606340086,2736
0.009925748401142319,4054
0.009857574333666366,962
0.009840885504616776,4394
0.009483408290576527,3360
0.00940876422936549,4106
0.009147849127074694,4092
0.008600116362709992,4076
0.008288432871649204,4158
0.0080012338456189,3654
0.007965809825073852,946
0.007306226526843262,4180
0.007235682750482103,2572
0.007187780784775942,3658
0.006992150535748219,3532
0.006888276291202391,3986
0.0066763906710025625,3506
0.0065277267097403596,4140
0.006421167774076514,2658
0.00637446181994804,2740
0.006268199762361417,2930
0.006123454767341808,3622
0.005949237235269481,4018
0.005904648426729924,4050
0.005817857976199389,372
0.005578570335731058,3782
0.00557196858233764,2982
0.0055258564953140936,2652
0.00551627856806195,4048
0.005339377739125536,2956
0.005300458731622545,4168
0.0052995639671276,4112
0.00528864594066215,1214
0.005225595595496561,2852
0.0052177625891126345,4030
0.005039441183299206,2892
0.005039135893312705,4152
0.004882614038514294,4154
0.0048356817923474365,952
0.004767114842447801,3992
0.004681560637564558,2936
0.004675880182788821,3862
0.004593219997940249,4124
0.004576590719142034,4026
0.004513224277716564,1286
0.004497537443753994,4002
0.004496175724468812,2854
0.004381818857238747,4068
0.004352535486758511,3794
0.004324875888907456,1142
0.004230469805790587,4408
0.004222868999599403,3516
0.004184383738744648,4156
0.0040149894955085735,4090
0.0038578180395736628,4020
0.003854924699982219,4392
0.0038525831127380083,4396
0.0037860511329948924,2858
0.003778511940333882,714
0.003728399498788944,4066
0.003684083869646912,3792
0.0036455299623231385,4028
0.0036005961133300708,2910
0.0035926835192883555,1620
0.003587421229670069,3762
0.003582857601102498,2742
0.0033118839151424235,3742
0.0033032592582306285,862
0.0032101147338184175,3982
0.003090538806381198,4166
0.0030900914504382636,2744
0.0030604015497051585,982
0.0030263048753833293,152
0.002999874243017317,1712
0.002993530926507669,3520
0.0029678380246794234,3032
0.0029513227419386023,3772
0.002947652386101071,1618
0.0029272431104643932,3636
0.0028808079812677927,3672
0.0028641880571622213,4016
0.0028386529085983707,3238
0.0028112812046292815,2706
0.0027106483290577467,242
0.0027076667676769056,3822
0.0026909537602640907,4032
0.0026751669152305754,1740
0.0026382475412064024,3540
0.0025839519006289964,4078
0.002565887835335228,1018
0.0025532011217490338,4056
0.0024930904100321266,2028
0.002477720117311974,4412
0.0024545214381747732,3694
0.002452812653871062,2708
0.0024460308433534848,684
0.0024440893301255658,564
0.002441025644792198,2970
0.0024263960954255385,4410
0.0024203618821959164,2330
0.0024158597939567283,1852
0.0023987478702623788,4110
0.0023884874774635473,3256
0.0023518988917338784,2752
0.002340683260573611,3670
0.0023375152094786064,1782
0.0022788973830820155,1210
0.002183223090414028,3534
0.0021738759416238423,1780
0.0021372598920260883,4162
0.002123032015758685,2688
0.0021216559029947277,4072
0.0020719046417454427,1786
0.002047800217692795,3260
0.002020840378235803,3326
0.002007134678587233,74
0.0019307381158774996,3620
0.0018951221754400832,3236
0.0018750603011543918,2682
0.0018736684190746155,2784
0.00187160995211255,154
0.0018416103505933324,2972
0.0018353260834471747,3226
0.0018341421345464447,2684
0.0018295308605591363,4148
0.0018281673616780613,1820
0.0018182243888051725,3132
0.0018000756293027485,3352
0.001792211601622695,2794
0.001779471107085889,1700
0.001772860325994117,4094
0.0017634657639247998,4100
0.001709338298512573,1622
0.0017049645913321222,2354
0.001703043494823604,3008
0.0016980289243983748,800
0.0016889320461802098,4084
0.0016605840547222364,3632
0.001644569478336983,3002
0.0016421423030696864,2610
0.001633844127850754,1252
0.0016314579277159414,212
0.00160911066280279,260
0.0015805755892031868,3722
0.001578283766892357,2884
0.001551357413588828,4082
0.0015476029927059254,1540
0.001542528591465912,2528
0.001537029804701277,2108
0.0015126361424775644,3242
0.0015122966464319908,3642
0.001510555578601827,3714
0.0015014762120611562,2960
0.0014953621879927068,1772
0.0014830046543476368,3052
0.0014809440870623344,356
0.0014532221275399325,1788
0.0014253127033396291,4160
0.0014182051204083823,4024
0.0014066871787799114,1108
0.0013923133848521292,374
0.0013834777653494283,2540
0.0013749886582631243,2564
0.001362507266194782,148
0.0013484597400090263,4022
0.0013231822777256693,3328
0.0013060924439629426,4120
0.0012919059232209995,1732
0.0012815935564995354,614
0.001244032947859797,1572
0.001243730805515597,1106
0.0012273508947682641,3834
0.001222363639313636,2812
0.0012212565978001009,1762
0.0012046612818497294,4406
0.0012020745703214622,4122
0.001201859112587909,4102
0.0012012648262985075,3648
0.00119660361658723,3990
0.0011880330973831096,2584
0.001183632513183531,1404
0.001177835997982785,3354
0.0011677878242473598,3364
0.001157689178739723,2844
0.0011545914955584918,1432
0.0011445171833729191,1720
0.0011437379319549966,146
0.0011275478734960025,1722
0.001116477848232332,2008
0.0011038853332954986,1056
0.001101737563273821,3734
0.0010603557262779456,3820
0.0010562495825568508,3234
0.0010144759865511053,1818
0.0009990106615596368,2958
0.0009834970565735588,2466
0.0009829066512351595,666
0.0009495725505679453,4070
0.0009463949780365929,2878
0.000946270032234903,3232
0.0009454819205030411,1850
0.0009440037405669303,806
0.0009385093295971667,2098
0.0009369332194414783,358
0.0009246312626866305,144
0.000921894791617718,2976
0.000911207127471302,1000
0.0009076519277295953,2686
0.0008940705981468186,1008
0.0008922318056119571,3780
0.0008870892760401897,504
0.0008834124294552336,2690
0.0008832720123475625,3688
0.0008772069027661751,676
0.0008760468257969178,3554
0.0008686679250596061,2950
0.0008619957267688642,1706
0.0008616856107780535,4322
0.0008511634649731666,3854
0.0008324203366842142,1800
0.000830083805052076,2158
0.0008177779832018971,758
0.0008153847932853563,3984
0.0008151010904146389,2674
0.0008121896472349237,84
0.0008057205441560842,882
0.0008046049456428761,1746
0.0008017346321724497,3244
0.0007928252592311203,3634
0.0007895203952165866,1670
0.0007889564468024402,1566
0.0007706915868075,210
0.0007575606324263492,2966
0.0007539229192956682,3056
0.000750897386035014,200
0.0007398765502820878,992
0.0007367133686205804,2602
0.0007365581648523872,1718
0.0007287745827906334,2882
0.0007247694809888267,1760
0.0007175136272935365,538
0.0007146296791717725,4150
0.0007140346486293532,2886
0.0007095018019199548,3994
0.0007010412193643016,3828
0.000687366524166522,490
0.0006840851559089959,1668
0.0006784522373355727,3490
0.0006750588648630215,3224
0.0006717609578060872,2824
0.000670619400146814,202
0.0006700395853509589,1570
0.0006678411932449476,3102
0.0006634419181864176,2874
0.0006605091060647999,1094
0.0006551794335405961,432
0.0006530998919629111,1680
0.0006464330249001534,2556
0.0006431469518952246,1250
0.0006366642302317636,2636
0.0006234108498645903,1122
0.0006182560835329779,2264
0.0006168414217452399,408
0.0006117920413710391,1666
0.0006055893033448754,3324
0.0006035725630737116,3664
0.000603472275137962,1764
0.000601638196206597,1224
0.0006002890480464826,3240
0.0005871472913206515,3082
0.0005824097170376563,3802
0.000577222883059793,4114
0.0005731818288040191,1662
0.0005715673614411467,4004
0.0005686613388203658,2250
0.0005619504458304105,4108
0.0005544611275017969,60
0.0005527001299067111,4128
0.0005523419951210762,1702
0.0005464599982559956,1082
0.0005361976785518782,1866
0.0005350222563826108,3138
0.0005271472898195781,2430
0.0005265392132364414,2780
0.0005241677778686421,3708
0.000522134842752488,2498
0.0005139067565360584,3108
0.0005131310939908307,2788
0.0005020292780451489,448
0.0004983942700181532,2776
0.00048715355399476124,2490
0.00047816238170541654,3674
0.00047060935811876206,3514
0.0004678250068799076,2514
0.00046399686202144093,406
0.00046022339800214345,3668
0.0004537047419784013,3496
0.00045307002359943596,3322
0.00044932626550403987,3786
0.00043354238780168587,2240
0.0004325637868375004,3980
0.00042247832336123184,736
0.0004203119086961653,2998
0.0004170323356942107,3040
0.00041536565415381386,1648
0.0004133022413980869,3768
0.00040924003585050004,3760
0.00040710499867248383,1460
0.0004051731172838217,3248
0.0004028900826042967,436
0.0004012635044911416,1002
0.00038966042951453793,1710
0.00038823827469138585,2720
0.00038299814017488505,128
0.00037401293985499224,2198
0.0003716789204281987,1828
0.0003716246523671034,4126
0.00037094067488159434,2320
0.0003627321469291857,4236
0.00036204398052144224,3128
0.00035765518714648875,3660
0.00035391188054289543,1810
0.00034509233150496055,1124
0.0003407441109947718,3680
0.000339714214514301,1840
0.00033913768022681714,1832
0.0003388442064806838,124
0.00033620855137342115,3380
0.00033404016737147017,3144
0.0003287425970859613,3320
0.0003254130994929058,3054
0.0003251740452218143,1708
0.0003241133564872199,3072
0.00032363549672902354,998
0.0003236176047032675,3788
0.0003220962730710426,2058
0.0003209668837281815,4130
0.00031566287660470617,348
0.0003156110220618993,3064
0.0003110096882915346,1640
0.0003062337581011944,2734
0.0003043751476875236,828
0.0003021918322745171,524
0.0003018837873026612,2782
0.0003016326716768494,3728
0.00030150569591636304,1686
0.00029827917697240584,2974
0.00029633595047972666,2494
0.0002902539811286283,2546
0.00028462104630712695,734
0.0002799654147633613,188
0.00027874964732976315,1004
0.0002782503452313805,3848
0.00026940597885167855,2964
0.0002688232484695223,1090
0.0002620611718707406,1408
0.00025971048222334786,3740
0.0002586537672733298,3702
0.0002565182518186853,4170
0.00025497405240969826,494
0.00024396797927858332,594
0.00024372650009424075,2648
0.00023994721730810802,10
0.00023815160945091723,1266
0.00023646577776477724,624
0.0002364354299711472,1728
0.0002351020161039358,3492
0.00022706063061932375,2400
0.00021296245830313497,1102
0.00021244102029395836,3748
0.0002103159216264064,4142
0.00020895559180757444,1132
0.00020054370900757064,2654
0.0002000458299989578,2826
0.00019690080166252877,1642
0.00019543737589064952,2808
0.0001905570415211063,2358
0.00018939986125161308,1752
0.00018661704955400844,3246
0.00018534554847985697,3860
0.00018437995570343168,4164
0.00018338388358032998,3258
0.00018226389538258164,3720
0.00018161747004986483,1750
0.0001808966840714132,2860
0.0001807824938648121,3640
0.00017697929618255186,2014
0.00017461306029322446,3874
0.00017414386897757938,2814
0.00017108593659063046,2962
0.0001690296706629299,1766
0.0001658463705639711,768
0.00016270677336531378,2148
0.00016239792059624355,2566
0.00016177074970285643,4104
0.00016074064020820544,1218
0.0001533393156338903,230
0.00015189309561535998,4188
0.0001504726503220791,2660
0.0001504336669221927,1278
0.0001485000030862464,2576
0.00014804919846280948,1738
0.00014706531585732469,1870
0.0001450952261632622,2516
0.000144867336378459,1054
0.00014114828927477073,3438
0.0001358990780612383,2894
0.0001343695109391651,4246
0.00013297466097475272,2332
0.0001329649077522925,4038
0.00012913981872476714,3800
0.0001287454238009929,3372
0.00012813190560381906,2166
0.00012636247788834872,4382
0.00012351788964534246,1578
0.00012231221672907172,2862
0.00011954392820443514,2980
0.00011812786164480305,728
0.00011562062023388882,2668
0.00011521507758534467,2650
0.00011430643770778095,2778
0.00011241315738719951,1768
0.00010739260484696981,1100
0.00010720081001645096,2578
0.00010625401273950828,1052
0.00010546326877551212,1650
0.00010312718264989758,2424
0.00010245259250258421,86
0.00010169825772814021,3086
9.897591345253848e-05,3600
9.728271180847442e-05,1202
9.659061737930491e-05,2454
9.521894887726693e-05,1730
9.443409006514074e-05,2016
9.22048142987e-05,2896
9.09888534743719e-05,3424
8.774808337241553e-05,1660
8.582616894867017e-05,2846
8.355217909777694e-05,960
8.081222224645773e-05,668
7.780632571787913e-05,3022
7.482408949876638e-05,3382
7.339062806601021e-05,1784
7.040268028963663e-05,1758
6.780239384574656e-05,4206
6.686709589861829e-05,824
6.582215110223117e-05,3752
6.520288520478579e-05,30
6.403757782302449e-05,1726
6.138385793060196e-05,3766
5.991605917453599e-05,3700
5.99094362007471e-05,2770
5.9628279346222734e-05,2060
5.914803554967444e-05,4210
5.42297275364031e-05,4252
5.12477285667551e-05,2144
5.057644567776521e-05,1400
4.864697034096322e-05,1770
4.689328325161934e-05,3662
4.688195117797476e-05,2310
4.5892221485185234e-05,1962
4.535376037658305e-05,2188
4.130214193144596e-05,682
4.1251373078755845e-05,2786
4.0152133752480965e-05,2806
3.802055439460559e-05,1506
3.725306613177056e-05,1226
3.442140282449926e-05,4208
3.371352152422752e-05,986
3.036604245305335e-05,3868
2.96091858947899e-05,1338
2.8356582889100936e-05,1418
2.8257579003528276e-05,4296
2.735245029395959e-05,1200
2.6644015100177915e-05,3610
2.629434462589309e-05,3070
2.5444085184773585e-05,380
2.4945435474766723e-05,3230
2.4612489608136427e-05,2760
2.3096519318736262e-05,1484
2.2668761503744025e-05,4242
2.2195430712636354e-05,2472
2.1790457523555225e-05,2554
2.0733303980014018e-05,3682
2.018899300600241e-05,2496
1.9787185387759352e-05,2594
1.8029095142665362e-05,296
1.5381171311189248e-05,4000
1.3999418937217608e-05,690
1.250447256933568e-05,1446
1.15456364656532e-05,220
1.0977031269414306e-05,3832
7.915568645725664e-06,2288
6.7512671221453975e-06,1332
6.4728489267792965e-06,1538
4.957259478396686e-06,3536
4.454681264325994e-06,1842
3.947239757453176e-06,2772
3.758273552554305e-06,2048
3.2279108529374516e-06,194
2.6456494995189883e-06,150
2.3474978596172206e-06,764
2.094617969725611e-06,3340
1.8056212137864122e-06,1826
1.7586726769589768e-06,2294
1.5272803063708928e-06,2038
1.4796904112200446e-06,4418
1.4066930461075226e-06,4414
1.0006320290124645e-06,1812
7.839736633344216e-07,990
7.465794247940565e-07,4416
5.945412942485961e-07,4318
5.387226579594065e-07,1848
4.3105962981359455e-07,2596
3.5128998063938774e-07,2160
1.9670555919052768e-07,1806
1.644901085467073e-07,190
1.4154407897317045e-07,1032
1.2527173047474258e-07,2748
1.0076528527983339e-07,2110
8.713271743952754e-08,492
8.2533851455253e-08,2552
6.763009383325757e-08,3546
6.177398272163599e-08,2252
3.4688473558432405e-08,1420
3.402625519258031e-08,2308
3.38051387523347e-08,1846
3.218118378123984e-08,1646
2.7472997917757783e-08,2796
2.164119726176107e-08,1792
1.7815062283874828e-08,3336
1.5901812536211595e-08,3526
1.3876704897085222e-08,1860
1.3124768544177792e-08,2476
9.673831325272401e-09,2138
6.622930472467288e-09,1138
3.1504327147858455e-09,2790
1.4601007662183526e-09,2714
1.0906801411583343e-09,2948
6.822419581782965e-10,240
2.8965953984767493e-10,972
2.664455016685745e-10,560
2.3919001963105027e-10,4368
1.871295521524533e-10,4204
1.8668053557398973e-10,390
1.7610637662218192e-10,2306
1.5532018865050206e-10,582
1.48880188840941e-10,1616
1.4833341952516328e-10,2934
1.4255721140015006e-10,2712
5.3568062299249306e-11,1802
5.1845239432286286e-11,4316
5.042338054260223e-11,1822
4.107729250955696e-11,1830
3.674193540223704e-11,3012
1.6030824746590224e-11,1808
1.0416322450179816e-11,2722
6.557508715267287e-12,2876
3.577710981053247e-12,4036
4.1009358522601706e-13,2390
1.300708046080851e-13,3452
3.3952305783750827e-15,4222
3.765336353008854e-17,704
0.0,1442
0.0,1028
0.0,760
0.0,76
0.0,724
0.0,706
0.0,2216
0.0,1046
0.0,2194
0.0,2190
0.0,2140
0.0,3062
0.0,3036
0.0,2434
0.0,2402
0.0,2292
0.0,2300
0.0,2374
0.0,2372
0.0,2302
0.0,3498
0.0,3484
0.0,3212
0.0,1456
0.0,1448
0.0,2076
0.0,2064
0.0,2044
0.0,2040
0.0,2026
0.0,3652
0.0,2436
0.0,3020
0.0,3018
0.0,3014
0.0,3202
0.0,1436
0.0,1434
0.0,1422
0.0,3566
0.0,3078
0.0,3076
0.0,3074
0.0,3608
0.0,3606
0.0,3604
0.0,3602
0.0,3732
0.0,3712
0.0,3678
0.0,2094
0.0,2090
0.0,2088
0.0,2078
